train_input_1,train_input_2,train_input_3,train_input_4,train_output_1
8,72,76,11,8
-15,-36,-1,-35,-36
33,33,25,33,25
7,64,74,0,0
17,17,17,78,17
-94,70,-1,-24,-94
27,-61,20,-3,-61
-48,-18,-65,-64,-65
99,88,12,1,1
-44,-44,-7,-13,-44
-65,-38,90,-48,-65
18,13,23,54,13
38,48,13,71,13
64,62,18,12,12
99,100,99,100,99
-98,-60,68,-35,-98
93,34,88,55,34
-26,-26,-56,-26,-56
33,66,68,6,6
-52,47,-52,-52,-52
-93,15,15,15,-93
62,18,94,40,18
91,13,12,64,12
-13,55,-33,-100,-100
-58,-58,-58,44,-58
-73,-59,65,20,-73
-70,-91,-29,-69,-91
30,-34,-89,-68,-89
59,66,68,-31,-31
-65,-67,-67,-67,-67
-58,36,-7,71,-58
75,22,95,39,22
-16,-40,-51,30,-51
-62,-1,-65,-97,-97
33,64,33,100,33
-68,-36,76,-21,-68
34,-17,97,3,-17
46,65,3,34,3
7,58,3,-81,-81
-89,-89,-89,-89,-89
-84,-19,-16,28,-84
47,-100,-79,-46,-100
-46,92,-63,-27,-63
-9,74,95,-76,-76
-13,-38,-38,-4,-38
-45,-36,-13,63,-45
-88,-99,-34,-33,-99
0,4,-99,-33,-99
78,78,78,-12,-12
-54,-54,-54,-54,-54
22,36,85,65,22
-52,-69,55,-1,-69
-24,99,-46,3,-46
-12,3,62,-18,-18
-31,-86,-86,-86,-86
-49,72,-37,30,-49
74,-46,-27,2,-46
89,98,62,91,62
70,51,61,19,19
0,0,0,0,0
-37,44,6,34,-37
12,5,26,66,5
16,75,-16,59,-16
-30,-73,43,-92,-92
6,6,6,6,6
10,22,75,49,10
-24,-45,100,-9,-45
86,96,63,65,63
82,-7,99,-75,-75
-22,-22,-22,-22,-22
-99,-88,-87,-56,-99
91,-81,-58,-36,-81
-16,55,14,-46,-46
-57,-57,-57,-57,-57
14,24,24,24,14
-34,-99,-42,-57,-99
80,46,48,18,18
94,94,94,94,94
-24,-18,-19,40,-24
100,-27,8,-12,-27
55,29,-27,-35,-35
5,5,42,52,5
-2,68,19,41,-2
53,11,24,44,11
89,2,48,-61,-61
6,63,86,26,6
13,-46,-17,40,-46
-63,-41,18,-88,-88
-24,57,59,99,-24
17,2,6,48,2
-82,-33,-37,10,-82
61,-65,19,-15,-65
-51,-30,77,62,-51
30,-88,62,8,-88
-99,16,-7,-13,-99
22,-25,11,26,-25
-76,47,-38,-5,-76
31,-88,-36,-12,-88
-79,-75,-50,50,-79
70,-51,-19,53,-51
